Transaction_ID,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Unit_Price,Quantity,Order_Date,Payment_Method,Shipping_Courier,Shipping_Time_Days,Review_Score,Review_Comment,Total_Amount
TXN00001,CUST0092,Dina,PROD36,Adidas Ultraboost,Footwear,3500000,4,2023-08-20,Bank Transfer,JNE,2,5,Not satisfied,14000000
TXN00002,CUST0024,Alice,PROD40,Nike Air Max,Apparel,2000000,4,2023-11-28,Bank Transfer,AnterAja,2,5,Could be better,8000000
TXN00003,CUST0029,Bob,PROD6,Adidas Ultraboost,Accessories,3500000,4,2024-03-12,Bank Transfer,SiCepat,4,2,Excellent service,14000000
TXN00004,CUST0044,Dina,PROD30,Uniqlo Dry-EX Shirt,Accessories,3500000,4,2023-09-02,E-Wallet,J&T,2,3,Item not as described,14000000
TXN00005,CUST0085,Eve,PROD49,Xiaomi Backpack,Electronics,2000000,5,2024-04-19,Credit Card,SiCepat,5,3,Could be better,10000000
TXN00006,CUST0081,Dina,PROD14,Uniqlo Dry-EX Shirt,Apparel,250000,4,2023-12-20,Credit Card,AnterAja,3,2,Item not as described,1000000
TXN00007,CUST0047,Bob,PROD45,ASUS TUF A15,Apparel,250000,2,2023-01-21,Bank Transfer,SiCepat,1,5,Excellent service,500000
TXN00008,CUST0019,Eve,PROD4,Lenovo LOQ,Accessories,500000,4,2024-04-16,E-Wallet,AnterAja,2,4,Great quality!,2000000
TXN00009,CUST0085,Alice,PROD8,Xiaomi Backpack,Apparel,250000,3,2024-04-24,Bank Transfer,AnterAja,1,2,Great quality!,750000
TXN00010,CUST0037,Alice,PROD32,Uniqlo Dry-EX Shirt,Footwear,250000,3,2023-12-08,Cash,JNE,4,2,Could be better,750000
TXN00011,CUST0025,Bob,PROD8,ASUS TUF A15,Accessories,250000,2,2024-03-01,Cash,JNE,5,2,Great quality!,500000
TXN00012,CUST0052,Eve,PROD26,Uniqlo Dry-EX Shirt,Accessories,1250000,3,2023-01-23,E-Wallet,AnterAja,4,4,Excellent service,3750000
TXN00013,CUST0065,Charlie,PROD50,Lenovo LOQ,Accessories,1250000,3,2023-07-13,Credit Card,SiCepat,4,5,Item not as described,3750000
TXN00014,CUST0054,Eve,PROD13,Nike Air Max,Accessories,1250000,3,2023-01-14,Bank Transfer,JNE,4,1,Great quality!,3750000
TXN00015,CUST0075,Eve,PROD26,ASUS TUF A15,Apparel,1250000,5,2023-08-24,Bank Transfer,J&T,3,2,Fast delivery,6250000
TXN00016,CUST0004,Eve,PROD7,Uniqlo Dry-EX Shirt,Accessories,3500000,2,2024-06-18,Bank Transfer,JNE,5,4,Could be better,7000000
TXN00017,CUST0050,Frank,PROD40,Uniqlo Dry-EX Shirt,Footwear,250000,4,2023-02-23,Credit Card,J&T,4,3,Great quality!,1000000
TXN00018,CUST0074,Dina,PROD50,Nike Air Max,Apparel,3500000,5,2023-03-16,Bank Transfer,AnterAja,5,5,Great quality!,17500000
TXN00019,CUST0088,Bob,PROD27,Uniqlo Dry-EX Shirt,Footwear,1250000,5,2023-02-23,Cash,SiCepat,1,2,Not satisfied,6250000
TXN00020,CUST0091,Frank,PROD11,Lenovo LOQ,Accessories,500000,5,2024-02-28,E-Wallet,J&T,2,1,Not satisfied,2500000
TXN00021,CUST0059,Dina,PROD42,ASUS TUF A15,Footwear,500000,4,2023-09-13,E-Wallet,AnterAja,2,5,Fast delivery,2000000
TXN00022,CUST0030,Charlie,PROD35,Nike Air Max,Electronics,2000000,2,2023-06-28,Cash,AnterAja,3,5,Great quality!,4000000
TXN00023,CUST0059,Dina,PROD4,Adidas Ultraboost,Electronics,2000000,5,2024-06-26,Bank Transfer,SiCepat,3,4,Could be better,10000000
TXN00024,CUST0068,Charlie,PROD50,Lenovo LOQ,Apparel,3500000,4,2024-02-09,E-Wallet,JNE,5,5,Fast delivery,14000000
TXN00025,CUST0021,Dina,PROD9,Nike Air Max,Electronics,1250000,4,2023-12-30,Bank Transfer,J&T,5,2,Not satisfied,5000000
TXN00026,CUST0056,Eve,PROD19,Lenovo LOQ,Footwear,3500000,4,2024-04-19,Bank Transfer,JNE,4,4,Not satisfied,14000000
TXN00027,CUST0076,Frank,PROD9,Uniqlo Dry-EX Shirt,Footwear,1250000,5,2023-11-08,Credit Card,AnterAja,3,3,Great quality!,6250000
TXN00028,CUST0051,Frank,PROD4,Adidas Ultraboost,Footwear,1250000,3,2024-03-14,Credit Card,SiCepat,5,1,Item not as described,3750000
TXN00029,CUST0008,Charlie,PROD5,Lenovo LOQ,Accessories,500000,3,2024-04-15,Credit Card,J&T,3,1,Excellent service,1500000
TXN00030,CUST0046,Eve,PROD34,Lenovo LOQ,Footwear,2000000,3,2023-07-02,Bank Transfer,AnterAja,4,3,Excellent service,6000000
TXN00031,CUST0098,Bob,PROD44,Xiaomi Backpack,Apparel,1250000,3,2024-02-06,Credit Card,SiCepat,3,4,Item not as described,3750000
TXN00032,CUST0084,Dina,PROD33,Adidas Ultraboost,Electronics,3500000,2,2023-09-26,E-Wallet,JNE,5,2,Great quality!,7000000
TXN00033,CUST0056,Bob,PROD19,Xiaomi Backpack,Electronics,500000,2,2023-07-23,Cash,JNE,3,5,Not satisfied,1000000
TXN00034,CUST0054,Charlie,PROD24,ASUS TUF A15,Accessories,1250000,5,2023-08-26,Cash,J&T,1,4,Not satisfied,6250000
TXN00035,CUST0026,Eve,PROD17,Xiaomi Backpack,Electronics,3500000,2,2023-07-24,Cash,AnterAja,3,1,Not satisfied,7000000
TXN00036,CUST0073,Eve,PROD44,Uniqlo Dry-EX Shirt,Footwear,3500000,3,2023-01-16,Cash,AnterAja,3,3,Not satisfied,10500000
TXN00037,CUST0065,Eve,PROD33,Adidas Ultraboost,Electronics,3500000,1,2023-11-14,Bank Transfer,SiCepat,1,5,Not satisfied,3500000
TXN00038,CUST0037,Eve,PROD29,Xiaomi Backpack,Apparel,250000,4,2023-08-16,E-Wallet,JNE,2,2,Excellent service,1000000
TXN00039,CUST0034,Dina,PROD22,Adidas Ultraboost,Electronics,1250000,4,2023-02-14,Credit Card,JNE,1,3,Great quality!,5000000
TXN00040,CUST0060,Eve,PROD49,ASUS TUF A15,Footwear,500000,5,2024-01-12,E-Wallet,SiCepat,3,2,Could be better,2500000
TXN00041,CUST0003,Bob,PROD43,Lenovo LOQ,Electronics,500000,1,2023-09-06,E-Wallet,SiCepat,2,1,Could be better,500000
TXN00042,CUST0055,Charlie,PROD6,Xiaomi Backpack,Footwear,1250000,1,2023-07-01,Bank Transfer,SiCepat,5,1,Could be better,1250000
TXN00043,CUST0052,Charlie,PROD24,Uniqlo Dry-EX Shirt,Apparel,500000,3,2023-07-10,Bank Transfer,SiCepat,2,5,Not satisfied,1500000
TXN00044,CUST0098,Eve,PROD33,ASUS TUF A15,Apparel,3500000,3,2023-05-29,Bank Transfer,J&T,1,3,Fast delivery,10500000
TXN00045,CUST0086,Alice,PROD6,ASUS TUF A15,Apparel,3500000,4,2023-08-22,E-Wallet,J&T,4,2,Not satisfied,14000000
TXN00046,CUST0066,Bob,PROD38,ASUS TUF A15,Footwear,3500000,3,2023-03-26,Cash,J&T,5,5,Excellent service,10500000
TXN00047,CUST0045,Alice,PROD17,Lenovo LOQ,Accessories,500000,5,2023-03-15,Bank Transfer,SiCepat,2,5,Great quality!,2500000
TXN00048,CUST0086,Eve,PROD6,Adidas Ultraboost,Footwear,3500000,3,2024-03-07,E-Wallet,SiCepat,5,1,Item not as described,10500000
TXN00049,CUST0028,Dina,PROD10,Nike Air Max,Apparel,500000,4,2023-12-01,Cash,JNE,1,5,Not satisfied,2000000
TXN00050,CUST0047,Alice,PROD41,Uniqlo Dry-EX Shirt,Footwear,500000,5,2024-05-01,Bank Transfer,JNE,2,5,Item not as described,2500000
TXN00051,CUST0028,Frank,PROD50,Adidas Ultraboost,Footwear,2000000,4,2024-02-02,Cash,JNE,3,1,Fast delivery,8000000
TXN00052,CUST0076,Alice,PROD30,Nike Air Max,Footwear,500000,5,2023-12-15,Cash,AnterAja,1,5,Not satisfied,2500000
TXN00053,CUST0081,Charlie,PROD40,ASUS TUF A15,Footwear,2000000,2,2023-01-23,Credit Card,SiCepat,1,1,Fast delivery,4000000
TXN00054,CUST0090,Bob,PROD24,Uniqlo Dry-EX Shirt,Footwear,1250000,1,2023-09-20,E-Wallet,SiCepat,3,2,Could be better,1250000
TXN00055,CUST0007,Eve,PROD16,Lenovo LOQ,Accessories,500000,2,2023-08-02,Cash,AnterAja,5,1,Could be better,1000000
